threshold,cell_type,n_total,n_border,prop_of_border,prop_of_type_border,global_prop,log2_enrichment
0.4,Lymphatic CD73+,431,5,0.0003965107057890563,0.01160092807424594,0.0006675329623440164,-0.7514777814420013
0.4,M1 Macrophage,25157,783,0.06209357652656622,0.031124537901975592,0.038963171075843205,0.6723329199691025
0.4,M2 Macrophage,18904,603,0.04781919111816019,0.031898011002962336,0.02927852232053663,0.707746964341142
0.4,Neck,25607,218,0.017287866772402856,0.008513297145311828,0.03966013124534392,-1.197929545404295
0.4,Neck Ki67+ p53+,26,0,0.0,0.0,4.026880979337454e-05,-15.29741103755938
0.4,Neck p53+,1469,38,0.003013481363996828,0.025867937372362152,0.0022751877533256615,0.40544538305496064
0.4,Nerve,6014,149,0.011816019032513878,0.02477552377785168,0.009314485465282865,0.34319604061742176
0.4,Neuroendocrine,5524,117,0.009278350515463918,0.021180304127443882,0.008555573280715422,0.11700380770944716
0.4,Neutrophil,21171,566,0.044885011895321174,0.02673468423787256,0.03278965277444355,0.4529931411210847
0.4,Paneth,419,1,7.930214115781126e-05,0.002386634844868735,0.0006489473578239974,-3.0326537590389857
0.4,Parietal,8314,207,0.01641554321966693,0.024897762809718546,0.012876726331619844,0.35029660624187875
0.4,Plasma,15464,382,0.0302934179222839,0.02470253491981376,0.023950649024797842,0.33893959873237023
0.4,Smooth Muscle,56162,986,0.0781919111816019,0.017556354830668423,0.08698372675444235,-0.15372614854284378
0.4,Squamou p63+ EGFRhi,13701,115,0.009119746233148296,0.008393547916210496,0.021220113960731715,-1.2183667284276731
0.4,Squamous Annexin A1+,26751,416,0.032989690721649485,0.015550820530073643,0.0414319588762524,-0.32872877000813844
0.4,Squamous p63+,24430,32,0.0025376685170499604,0.0013098649201801064,0.03783719320200539,-3.8982290072517642
0.4,Stroma,69178,1709,0.13552735923869944,0.024704385787389056,0.1071429124571563,0.3390477001615561
0.4,Stroma CD73+,840,9,0.0007137192704203013,0.010714285714285714,0.0013009923164013313,-0.8661828982477338
0.49,B cell,12540,12,0.013363028953229399,0.0009569377990430622,0.019421956723419877,-0.5394414672938155
0.49,CD4+ T cell,15029,36,0.0400890868596882,0.0023953689533568433,0.023276920860947153,0.7843093035279336
0.49,CD4+ T cell PD1+,7217,17,0.01893095768374165,0.002355549397256478,0.011177692318414771,0.7601249749581486
0.49,CD4+ Treg,10300,14,0.015590200445434299,0.0013592233009708738,0.015952643879682992,-0.03315606680346071
0.49,CD8+ T cell,24316,47,0.052338530066815145,0.001932883697976641,0.0376606299590652,0.4748162634823082
0.49,CD8+ T cell PD1+,7735,12,0.013363028953229399,0.0015513897866839042,0.011979970913528926,0.15762263791525555
0.49,Chief,9348,9,0.01002227171492205,0.0009627727856225931,0.014478185921094816,-0.5306712470433252
0.49,DC,2157,3,0.0033407572383073497,0.0013908205841446453,0.003340762412473419,-2.2344442236454914e-06
0.49,Endothelial,32064,43,0.04788418708240535,0.0013410678642714572,0.04966073527749082,-0.05255631142088486
0.49,Endothelial CD36hi,9936,20,0.022271714922048998,0.002012882447665056,0.015388880542575747,0.5333243336891083
0.49,Endothelial aSMAhi,914,0,0.0,0.0,0.001415603544274782,-20.43298686744619
0.49,Epithelial,20968,54,0.060133630289532294,0.0025753529187333077,0.0324752462979799,0.8888315693964887
0.49,Epithelial CD73hi,2353,2,0.0022271714922048997,0.0008499787505312367,0.003644327286300396,-0.7104396273340802
0.49,Epithelial CK7+,1179,0,0.0,0.0,0.0018260356440918685,-20.80028428629974
0.49,Epithelial CK7+ p53+,48958,61,0.06792873051224944,0.0012459659299808,0.07582616884092426,-0.15867393698601312
0.49,Epithelial HLADR+,67,0,0.0,0.0,0.00010376962523677285,-16.663038586506012
0.49,Epithelial Ki67+ p53+,6008,11,0.012249443207126948,0.0018308921438082556,0.009305192663022856,0.39660820985188017
0.49,Epithelial MUC1+ Ki67+,8133,4,0.004454342984409799,0.0004918234353866962,0.01259639346344289,-1.4997259632118471
0.49,Epithelial p53+,7647,17,0.01893095768374165,0.0022230940238001833,0.01184367648038212,0.6766303628982148
0.49,Epithelial pH2AX+,4907,6,0.0066815144766146995,0.0012227430201752598,0.007599963448311111,-0.18581730325851945
0.49,Foveloar,65508,47,0.052338530066815145,0.0007174696220308969,0.10145881507478383,-0.9549488914503611
0.49,Foveloar Ki67+ p53+,714,0,0.0,0.0,0.0011058434689411316,-20.076717061889756
0.49,Foveloar p53+,5754,1,0.0011135857461024498,0.0001737921445950643,0.008911797367349119,-3.0005026460912863
0.49,Goblet,8787,12,0.013363028953229399,0.0013656538067599864,0.013609308909783928,-0.026346749931240226
0.49,Goblet Ki67+ p53+,241,0,0.0,0.0,0.00037326089077704863,-18.509828694587206
0.49,Goblet p53+,3441,0,0.0,0.0,0.005329422096115454,-22.345547940691507
0.49,Lymphatic,9878,13,0.014476614699331848,0.0013160558817574407,0.015299050120728989,-0.0797178038856607
0.49,Lymphatic CD73+,431,1,0.0011135857461024498,0.002320185614849188,0.0006675329623440164,0.7383008012123313
0.49,M1 Macrophage,25157,45,0.05011135857461024,0.0017887665460905513,0.038963171075843205,0.3630265450377452
0.49,M2 Macrophage,18904,35,0.03897550111358575,0.0018514600084638172,0.02927852232053663,0.41272481670609984
0.49,Neck,25607,23,0.025612472160356347,0.0008981919006521654,0.03966013124534392,-0.6308429207732446
0.49,Neck Ki67+ p53+,26,0,0.0,0.0,4.026880979337454e-05,-15.29741103755938
0.49,Neck p53+,1469,5,0.005567928730512249,0.0034036759700476512,0.0022751877533256615,1.2911547653342987
0.49,Nerve,6014,7,0.0077951002227171495,0.0011639507815098104,0.009314485465282865,-0.2569084743320832
0.49,Neuroendocrine,5524,9,0.01002227171492205,0.0016292541636495294,0.008555573280715422,0.22827309850123126
0.49,Neutrophil,21171,39,0.043429844097995544,0.0018421425534929858,0.03278965277444355,0.4054461387028419
0.49,Paneth,419,0,0.0,0.0,0.0006489473578239974,-19.30774415007943
0.49,Parietal,8314,18,0.0200445434298441,0.002165022853019004,0.012876726331619844,0.6384436547478394
0.49,Plasma,15464,22,0.024498886414253896,0.0014226590791515778,0.023950649024797842,0.032651421072499145
0.49,Smooth Muscle,56162,102,0.11358574610244988,0.0018161746376553541,0.08698372675444235,0.3849643717758554
0.49,Squamou p63+ EGFRhi,13701,6,0.0066815144766146995,0.0004379242391066346,0.021220113960731715,-1.6671852004477539
0.49,Squamous Annexin A1+,26751,19,0.021158129175946547,0.0007102538222870173,0.0414319588762524,-0.969531929776581
0.49,Squamous p63+,24430,6,0.0066815144766146995,0.00024559967253376993,0.03783719320200539,-2.5015578386447337
0.49,Stroma,69178,118,0.13140311804008908,0.0017057446008846744,0.1071429124571563,0.29446308865580056
0.49,Stroma CD73+,840,2,0.0022271714922048997,0.002380952380952381,0.0013009923164013313,0.7755997471796813
