threshold_low,threshold_high,jaccard_border_cells,pearson_enrichment,spearman_enrichment
0.01,0.1,0.49711019704261294,0.9969810039427549,0.9507246376811592
0.1,0.25,0.4881684891529834,0.8712574041543768,0.9953886693017128
0.25,0.4,0.30274656679151063,0.8152499699807569,0.9737812911725954
0.4,0.49,0.07121332275971451,0.798627378304983,0.742292490118577
