threshold,observed_mean_nn_distance,null_mean,null_std,p_value_clustered,n_border,n_permutations
0.01,23.94899757787779,29.62160374712468,0.03439484051691376,0.009900990099009901,171638,100
0.1,30.2826498368091,40.61729207703498,0.08025411741263289,0.009900990099009901,85323,100
0.25,42.134751379816024,57.662786455678855,0.19547979146563282,0.009900990099009901,41652,100
0.4,79.39313175396325,106.41673360829736,0.6313811584698199,0.009900990099009901,12610,100
0.49,335.2010047627578,432.55523062358515,9.35781498296583,0.009900990099009901,898,100
