model,threshold,n_border,frac_border
diagonal_gaussian,0.25,41652,0.06451063328898601
full_gaussian,0.25,17100,0.026484486441027102
multinomial,0.25,112029,0.17351055739776755
dirichlet_multinomial,0.25,154886,0.2398874951406388
logistic_normal,0.25,23363,0.03618462320010036
