model,test_logloss,test_accuracy,mean_entropy,frac_border,n_border,train_loglik,test_loglik,n_params,bic,n_train,n_test,n_components,n_features,runtime_s
multinomial,0.5856629564223641,0.8205979380378835,0.3796155126766312,0.1739348163903789,33691,-12.30066723625039,-12.306318211028412,1056,11132618.880034413,451962,193699,24,45,0.26398208318278193
dirichlet_multinomial,0.6632031809539518,0.7778976659662673,0.6215941965155409,0.24111637127708455,46704,-11.222837717762683,-11.228923940412182,1080,10158655.422846157,451962,193699,24,45,37.214366166852415
diagonal_gaussian,4.90702523510771,0.6239010010376925,0.11427770523240979,0.06409945327544282,12416,14.898436147512335,14.964119533606256,2160,-13438927.872893456,451962,193699,24,45,4.0157063328661025
logistic_normal,7.83841132388755,0.558913572088653,0.0597513717612991,0.03680452661087564,7129,40.00640261084125,40.054177705770805,24816,-35839609.568012714,451962,193699,24,45,3.368058499880135
full_gaussian,12.661665949800126,0.4519434793158457,0.04551624099912199,0.02718134838073506,5265,55.52332966632626,55.59808544236235,25920,-49851356.76557848,451962,193699,24,45,2.7227277918718755
