sharpness_label,transition_width_frac,ground_truth_sharpness,repeat,steepness,slope,slope_norm,n_clusters_effective,error
sharp,0.05,20.0,0,0.7506993391489738,-3.5087799904211434,0.25426505669366756,5,
sharp,0.05,20.0,1,0.6254617163787825,-3.5312653834365952,0.2558944691234754,5,
sharp,0.05,20.0,2,0.9780693043873255,-3.5794720660702706,0.2593877844428534,5,
sharp,0.05,20.0,3,0.75749303941145,-3.52940455484304,0.25575962348221853,5,
sharp,0.05,20.0,4,0.5600285058419202,-3.520839689132972,0.2551389672794104,5,
medium,0.25,4.0,0,0.21302472162202468,-3.282968936451038,0.37582216867322843,5,
medium,0.25,4.0,1,0.21709123520710186,-3.3026663910825382,0.3750010081708759,5,
medium,0.25,4.0,2,1.3868777069572376,-3.3420664104793407,0.37174575179839414,5,
medium,0.25,4.0,3,0.34867135015759504,-3.334687899323647,0.37890058938651616,5,
medium,0.25,4.0,4,0.18044391993918105,-3.2980127893329425,0.3803559746103364,5,
gradual,0.7,1.4285714285714286,0,0.2622741753661855,-1.1233783848724552,0.42916221024213197,5,
gradual,0.7,1.4285714285714286,1,0.20451642468141448,-1.1407937957248246,0.4322207397489464,5,
gradual,0.7,1.4285714285714286,2,0.17310600297018297,-1.1399362657833223,0.42181962610772566,5,
gradual,0.7,1.4285714285714286,3,0.19039958409664037,-1.1524442670578035,0.4383159047642613,5,
gradual,0.7,1.4285714285714286,4,0.23587462919193758,-1.135859034898217,0.4383112955789581,5,
