transition,param,value,steepness,slope,slope_norm,score_iqr,n_clusters_effective,n_cells,k,n_bins,n_clusters,subsample_frac,error
sharp,baseline,,0.7506993391489738,-3.5087799904211434,0.25426505669366756,13.799694051740808,5,3000,20,5,5,1.0,
sharp,k,10.0,0.6565092750544562,-3.3281738229641094,0.24117736309844245,13.799694051740808,5,3000,10,5,5,1.0,
sharp,k,20.0,0.7506993391489738,-3.5087799904211434,0.25426505669366756,13.799694051740808,5,3000,20,5,5,1.0,
sharp,k,30.0,1.578690696677634,-3.6300110810978983,0.26305011310304943,13.799694051740808,5,3000,30,5,5,1.0,
sharp,k,50.0,2.1150951902034674,-3.7498826572568045,0.27173665178350553,13.799694051740808,5,3000,50,5,5,1.0,
sharp,n_bins,3.0,0.46137617211372256,-3.3429922711786255,0.24225118750056004,13.799694051740808,5,3000,20,3,5,1.0,
sharp,n_bins,4.0,0.5365529187312585,-3.478976173559894,0.25210531193776914,13.799694051740808,5,3000,20,4,5,1.0,
sharp,n_bins,5.0,0.7506993391489738,-3.5087799904211434,0.25426505669366756,13.799694051740808,5,3000,20,5,5,1.0,
sharp,n_bins,6.0,1.7733921149160687,-3.681445999153439,0.26677736371184485,13.799694051740808,5,3000,20,6,5,1.0,
sharp,n_bins,7.0,1.4250370851298166,-3.61324673797631,0.2618352786973929,13.799694051740808,5,3000,20,7,5,1.0,
sharp,n_clusters,3.0,0.75122221222591,-6.803644264596655,0.4930286308585506,13.799694051740808,3,3000,20,5,3,1.0,
sharp,n_clusters,4.0,0.8954316848344739,-4.622793284441917,0.33499244744913453,13.799694051740808,4,3000,20,5,4,1.0,
sharp,n_clusters,5.0,0.7506993391489738,-3.5087799904211434,0.25426505669366756,13.799694051740808,5,3000,20,5,5,1.0,
sharp,n_clusters,6.0,0.7298416655316422,-2.8879032485921905,0.20927299096372984,13.799694051740808,6,3000,20,5,6,1.0,
sharp,n_clusters,8.0,0.5637692568306206,-1.9976288945302136,0.14475892632403806,13.799694051740808,8,3000,20,5,8,1.0,
sharp,subsample_frac,0.25,1.9700159104139858,-3.7320002440280637,0.27044079600860993,13.799694051740808,5,750,20,5,5,0.25,
sharp,subsample_frac,0.5,1.5444222259209894,-3.60556655600512,0.26127873143320046,13.799694051740808,5,1500,20,5,5,0.5,
sharp,subsample_frac,0.75,1.558896991910646,-3.661361677093513,0.26532194578847484,13.799694051740808,5,2250,20,5,5,0.75,
sharp,subsample_frac,1.0,0.7506993391489738,-3.5087799904211434,0.25426505669366756,13.799694051740808,5,3000,20,5,5,1.0,
medium,baseline,,0.21302472162202468,-3.282968936451038,0.37582216867322843,8.735431834798252,5,3000,20,5,5,1.0,
medium,k,10.0,0.18622272570140494,-3.2886045227680736,0.37646730979774456,8.735431834798252,5,3000,10,5,5,1.0,
medium,k,20.0,0.21302472162202468,-3.282968936451038,0.37582216867322843,8.735431834798252,5,3000,20,5,5,1.0,
medium,k,30.0,0.22252261864004064,-3.2792611569723347,0.37539771576136055,8.735431834798252,5,3000,30,5,5,1.0,
medium,k,50.0,0.20025256542322886,-3.2705232367836103,0.3743974309037859,8.735431834798252,5,3000,50,5,5,1.0,
medium,n_bins,3.0,0.1634868846066578,-2.827317410717769,0.3236608635024701,8.735431834798252,5,3000,20,3,5,1.0,
medium,n_bins,4.0,3.01954127070586,-2.9021167466146167,0.3322236154432361,8.735431834798252,5,3000,20,4,5,1.0,
medium,n_bins,5.0,0.21302472162202468,-3.282968936451038,0.37582216867322843,8.735431834798252,5,3000,20,5,5,1.0,
medium,n_bins,6.0,1.0148621911109776,-3.0195601400148147,0.3456681017172121,8.735431834798252,5,3000,20,6,5,1.0,
medium,n_bins,7.0,1.1211334945080946,-3.485331552693313,0.39898789419994457,8.735431834798252,5,3000,20,7,5,1.0,
medium,n_clusters,3.0,0.14543738608315948,-5.029117493049736,0.5757148116039172,8.735431834798252,3,3000,20,5,3,1.0,
medium,n_clusters,4.0,0.8958915024483254,-3.8073990313572748,0.43585699062869604,8.735431834798252,4,3000,20,5,4,1.0,
medium,n_clusters,5.0,0.21302472162202468,-3.282968936451038,0.37582216867322843,8.735431834798252,5,3000,20,5,5,1.0,
medium,n_clusters,6.0,0.6174820505800407,-2.72054535284513,0.3114379923391574,8.735431834798252,6,3000,20,5,6,1.0,
medium,n_clusters,8.0,1.5829227339364011,-1.882007637244191,0.21544528912091918,8.735431834798252,8,3000,20,5,8,1.0,
medium,subsample_frac,0.25,0.6605818374061894,-3.3385863877285944,0.3749690684981335,8.903631441123025,5,750,20,5,5,0.25,
medium,subsample_frac,0.5,0.2893528533671783,-3.2778059157342794,0.37389532092430894,8.766640640570722,5,1500,20,5,5,0.5,
medium,subsample_frac,0.75,0.11427989579084989,-3.256702239843866,0.374344694738212,8.699741937364315,5,2250,20,5,5,0.75,
medium,subsample_frac,1.0,0.21302472162202468,-3.282968936451038,0.37582216867322843,8.735431834798252,5,3000,20,5,5,1.0,
gradual,baseline,,0.2622741753661855,-1.1233783848724552,0.42916221024213197,2.617607883598718,5,3000,20,5,5,1.0,
gradual,k,10.0,0.2646139744871318,-1.1242271553334051,0.4294864644844377,2.617607883598718,5,3000,10,5,5,1.0,
gradual,k,20.0,0.2622741753661855,-1.1233783848724552,0.42916221024213197,2.617607883598718,5,3000,20,5,5,1.0,
gradual,k,30.0,0.24639763466882555,-1.1241899359302598,0.4294722456232483,2.617607883598718,5,3000,30,5,5,1.0,
gradual,k,50.0,0.25102736170696144,-1.121709151416922,0.42852451600763936,2.617607883598718,5,3000,50,5,5,1.0,
gradual,n_bins,3.0,0.29343483679530724,-0.9295895721627697,0.3551294210211344,2.617607883598718,5,3000,20,3,5,1.0,
gradual,n_bins,4.0,0.6372710491183032,-0.9909719000846893,0.37857920061055494,2.617607883598718,5,3000,20,4,5,1.0,
gradual,n_bins,5.0,0.2622741753661855,-1.1233783848724552,0.42916221024213197,2.617607883598718,5,3000,20,5,5,1.0,
gradual,n_bins,6.0,0.437399607531116,-1.0319484592432757,0.3942334013085798,2.617607883598718,5,3000,20,6,5,1.0,
gradual,n_bins,7.0,0.2961308243185013,-1.1420745735468671,0.4363046813477386,2.617607883598718,5,3000,20,7,5,1.0,
gradual,n_clusters,3.0,0.30621792114863133,-1.993109309842584,0.7614239406638835,2.617607883598718,3,3000,20,5,3,1.0,
gradual,n_clusters,4.0,0.5508073253608139,-1.3001176340815603,0.49668158559109443,2.617607883598718,4,3000,20,5,4,1.0,
