threshold,n_border,frac_border,mean_positive,n_regions_with_border,centroid_x,centroid_y,spread_x,spread_y
0.01,101550,0.15728067825066094,1.1844822592660855,28,3680.5016445100937,3400.850064007878,2374.0931733108237,2554.323957236784
0.1,50833,0.07873016954717724,1.0832851914549586,27,3682.0744201601324,3403.107981035941,2372.777705211858,2541.9342836106657
0.25,24205,0.03748871311725503,1.0378046683940954,27,3663.318818425945,3391.324147903326,2384.5940875873243,2547.0628428643713
0.4,8008,0.012402793416359359,1.0120047517195556,26,3738.1035214785215,3417.825924075924,2449.319319631082,2562.4403095637554
0.49,573,0.0008874626158309082,0.9989065469340722,26,3529.5951134380452,3217.202443280977,2384.335859420215,2411.6622997472
