threshold,n_border,frac_border,mean_positive,n_regions_with_border,centroid_x,centroid_y,spread_x,spread_y
0.01,1849774,0.36854261839483465,1.484898764912608,21,12885.968832408716,18200.431392699866,6090.017958909539,13790.540574554232
0.1,948447,0.18896532267656793,1.2076190453420583,21,12882.997454786615,18015.503239506266,6068.629713833635,13795.27685385682
0.25,464229,0.09249139148610355,1.093703546749565,21,12806.822725422151,17960.354921816604,6060.407603508438,13816.306858378466
0.4,165108,0.03289555082833598,1.031091463729282,21,12757.053692128788,16559.061032778543,5946.854007101818,13639.171430497516
0.49,10556,0.002103141183612633,0.9939467946721752,21,12537.214190981433,18055.4817165593,5912.757041997882,13683.268183890046
