threshold,cell_type,n_total,n_border,prop_of_border,prop_of_type_border,global_prop,log2_enrichment
0.01,B,35499,2526,0.002405093542523787,0.0711569339981408,0.014131756264525267,-2.5547753624458984
0.01,CD4+ T cell,117016,51480,0.04901592065286007,0.4399398372872086,0.04658276545958164,0.07345412948758476
0.01,CD57+ Enterocyte,1895,185,0.00017614501400114828,0.09762532981530343,0.0007543783802719902,-2.09851841430743
0.01,CD66+ Enterocyte,49439,9732,0.009266179871671215,0.19684864176055342,0.019681114903570936,-1.0867652741389668
0.01,CD7+ Immune,7174,2184,0.0020794633004243665,0.30443267354335096,0.0028558894459478935,-0.457728720117105
0.01,CD8+ T,200378,114948,0.10944603821299455,0.5736557905558495,0.07976824859215877,0.4563332198305465
0.01,Cycling TA,82846,20151,0.019186476633173723,0.24323443497573813,0.03298006928338433,-0.7815045959163817
0.01,DC,32001,15731,0.014978039001362506,0.49157838817536953,0.012739241449648527,0.23356935873594725
0.01,Endothelial,180746,93766,0.08927791017746849,0.5187721996614033,0.07195296819031195,0.3112490510040671
0.01,Enterocyte,484823,226948,0.21608518182450054,0.4681048547614284,0.19300263295968714,0.1629796120767018
0.01,Goblet,163157,99929,0.09514591948173376,0.6124714232303855,0.0649509833192808,0.5507904106033634
0.01,ICC,33829,17623,0.016779478820228302,0.5209435691270803,0.013466947876633856,0.3172749662335788
0.01,Lymphatic,64496,33726,0.03211171212001474,0.5229161498387497,0.025675138793679303,0.322727501485146
0.01,M1 Macrophage,21825,8962,0.008533035759342113,0.4106300114547537,0.008688289260916193,-0.026013038927347305
0.01,M2 Macrophage,112475,55177,0.05253596452725059,0.49057123805290065,0.04477504396891404,0.230610532539929
0.01,MUC1+ Enterocyte,17869,5399,0.005140578003201079,0.30214337679780623,0.007113449750438097,-0.468618719286715
0.01,NK,5027,1637,0.001558645340107458,0.32564153570718124,0.0020011926742096544,-0.3605671822275336
0.01,Nerve,76899,26369,0.02510685337403394,0.34290432905499424,0.03061263486255186,-0.28604598630795747
