model,threshold,n_border,frac_border
diagonal_gaussian,0.25,291543,0.11606001906049437
full_gaussian,0.25,310520,0.12361455126229995
multinomial,0.25,545628,0.21720842578946992
dirichlet_multinomial,0.25,724191,0.2882923660092627
logistic_normal,0.25,344962,0.137325527607064
