model,test_logloss,test_accuracy,mean_entropy,frac_border,n_border,train_loglik,test_loglik,n_params,bic,n_train,n_test,n_components,n_features,runtime_s
multinomial,0.6114241818784877,0.816838331108463,0.5132975754662175,0.2168239999363059,163399,-9.822964747264177,-9.825007565233397,480,34552304.78231272,1758400,753602,20,25,0.6656965408474207
dirichlet_multinomial,0.657846657291283,0.7897723201371546,0.7479392449592502,0.28745544730507616,216627,-9.325716602592893,-9.327981249530584,500,32803870.10543,1758400,753602,20,25,95.1586703332141
logistic_normal,2.725226178717593,0.6399916666887827,0.23904919820785456,0.13810870990257457,104079,-1.037858698530814,-1.0521054293741423,6480,3743123.319303019,1758400,753602,20,25,5.504002958070487
diagonal_gaussian,2.8468318855402157,0.6649425028065212,0.22380216782727178,0.1149957139179567,86661,-3.565267916833103,-3.575497384881967,1000,12552714.124781288,1758400,753602,20,25,8.082125707995147
full_gaussian,2.954860049753674,0.639845701046441,0.24670404320689168,0.1243667081562947,93723,3.043908742080255,3.0334016804225015,7000,-10604158.86010942,1758400,753602,20,25,4.9101010002195835
