threshold,n_border,frac_border,mean_positive,n_regions_with_border,centroid_x,centroid_y,spread_x,spread_y
0.01,1096727,0.4365947957047805,1.7165647161108948,64,4744.182663506962,4715.261439720186,2557.813374208121,2518.642038922095
0.1,603690,0.24032226088991968,1.287623576732821,64,4735.190955622919,4722.7375937981415,2555.8735817721486,2517.317143645679
0.25,291543,0.11606001906049437,1.118944968992859,64,4730.37784820764,4734.155596258528,2553.87975649075,2515.4635995580484
0.4,77712,0.03093628110168702,1.0243252194862902,64,4740.8379272184475,4727.709864628371,2555.622403597925,2526.721497022173
0.49,3360,0.0013375785528833178,0.9785075808060663,64,4673.289583333333,4686.580357142857,2553.3616492140723,2524.59439447963
