model,test_logloss,test_accuracy,mean_entropy,frac_border,n_border,train_loglik,test_loglik,n_params,bic,n_train,n_test,n_components,n_features,runtime_s
dirichlet_multinomial,1.3986059649188418,0.5420099795008478,0.9896675346943448,0.31103146597716314,140501,-12.581109728733185,-12.581135384597784,624,26530186.586299196,1054022,451726,16,39,66.33663191692904
multinomial,1.7119936230782076,0.5544002337700288,0.6450395854022989,0.2567552011617662,115983,-13.685195027672817,-13.68958522920954,608,28857425.086234998,1054022,451726,16,39,0.5422964170575142
logistic_normal,4.747780147186394,0.4873108920009032,0.35586948514685585,0.19953688740519696,90136,7.8662348705695395,7.878730008680398,12464,-16409516.925445465,1054022,451726,16,39,4.867036915849894
diagonal_gaussian,5.282549030664488,0.4941446806249806,0.2789469992519254,0.15765973178431172,71219,5.884803796632351,5.893491173493286,1248,-12388117.916064896,1054022,451726,16,39,5.392145374789834
full_gaussian,5.658060353610758,0.4727246162496735,0.28351121996492573,0.16170643266050658,73047,13.409324721467092,13.414389466996289,13104,-28085718.62780728,1054022,451726,16,39,3.7725012497976422
